; CIE Illuminant ID50
;
; Indoor daylight: the D50 daylight illuminant filtered by window glass.
; Adapted from the file 206.xls distributed on the CIE web site
; http://cie.co.at.
;
; lambda / nm    power
300.0  0.0000000
305.0  0.0000000
310.0  0.0000000
315.0  0.0004489
320.0  0.0106733
325.0  0.1149117
330.0  0.5675571
335.0  1.5786527
340.0  3.5062719
345.0  6.3820100
350.0  10.1017228
355.0  13.9677961
360.0  17.3499806
365.0  20.0462949
370.0  22.1259489
375.0  21.2056517
380.0  20.0841720
385.0  22.7659082
390.0  25.6266808
395.0  34.4465007
400.0  43.2321751
405.0  46.5092754
410.0  49.6325544
415.0  51.0687148
420.0  52.5143288
425.0  51.5244549
430.0  50.5544600
435.0  57.9727907
440.0  65.4290198
445.0  71.0192345
450.0  76.7142745
455.0  78.4726849
460.0  80.2169593
465.0  80.7415760
470.0  81.2197536
475.0  82.9926148
480.0  84.7542622
485.0  83.4596508
490.0  82.1555889
495.0  83.9000360
500.0  85.6350455
505.0  86.0939761
510.0  86.5465976
515.0  86.8034817
520.0  87.0385886
525.0  89.2377162
530.0  91.4249526
535.0  90.7744352
540.0  90.1140287
545.0  90.7433982
550.0  91.3571688
555.0  90.2288058
560.0  89.0796125
565.0  87.9464994
570.0  86.7688875
575.0  87.0768624
580.0  87.3611098
585.0  84.7321073
590.0  82.1150854
595.0  83.7181080
600.0  85.3389104
605.0  85.8242134
610.0  86.2725519
615.0  85.8459402
620.0  85.4111277
625.0  83.7050369
630.0  82.0328543
635.0  83.0910245
640.0  84.1388266
645.0  82.5194334
650.0  80.9013729
655.0  81.7203500
660.0  82.5322696
665.0  84.3125032
670.0  86.0310725
675.0  84.0430201
680.0  82.0816613
685.0  76.9805275
690.0  71.9240548
695.0  73.3727714
700.0  74.7728146
705.0  74.9855564
710.0  75.1968482
715.0  68.4097426
720.0  61.6762410
725.0  65.3009680
730.0  68.8780017
735.0  70.9770573
740.0  73.0199166
745.0  67.0761201
750.0  61.1843640
755.0  52.9302024
760.0  44.7453405
765.0  54.3098072
770.0  63.8023950
775.0  61.7648109
780.0  59.7341069
