; CIE Illuminant ID65
;
; Indoor daylight: this is the D65 daylight illuminant filtered by window glass.
; Adapted from the file 206.xls distributed on the CIE web site
; http://cie.co.at.
;
; lambda / nm    power
300.0  0.0000000
305.0  0.0000000
310.0  0.0000000
315.0  0.0010749
320.0  0.0277687
325.0  0.2922499
330.0  1.4259545
335.0  3.7178776
340.0  7.8042877
345.0  13.9016356
350.0  21.5937907
355.0  28.4470488
360.0  33.7972434
365.0  38.8809591
370.0  42.7477009
375.0  42.0686199
380.0  40.9880979
385.0  43.8178608
390.0  46.8833310
395.0  59.7773691
400.0  72.5576850
405.0  76.5811127
410.0  80.3475992
415.0  81.0282154
420.0  81.7288247
425.0  78.7451691
430.0  75.7926055
435.0  83.7180209
440.0  91.6968148
445.0  97.2233303
450.0  102.8824353
455.0  103.6037100
460.0  104.2965657
465.0  103.2327947
470.0  102.1033854
475.0  102.7122398
480.0  103.3021937
485.0  100.2620444
490.0  97.2068308
495.0  97.5244156
500.0  97.8284941
505.0  97.2029628
510.0  96.5697817
515.0  95.2489692
520.0  93.9037125
525.0  95.1726237
530.0  96.4305401
535.0  94.9092109
540.0  93.3785436
545.0  93.1465754
550.0  92.9009645
555.0  90.9994509
560.0  89.0796125
565.0  87.3230246
570.0  85.5252608
575.0  85.0702166
580.0  84.5967972
585.0  81.2346004
590.0  77.8877380
595.0  78.2470443
600.0  78.6281943
605.0  78.2635462
610.0  77.8686499
615.0  76.7500194
620.0  75.6289742
625.0  73.4863214
630.0  71.3775473
635.0  71.3083944
640.0  71.2377725
645.0  69.4545493
650.0  67.6751439
655.0  67.5493572
660.0  67.4232915
665.0  68.0941827
670.0  68.7207885
675.0  66.7576058
680.0  64.8189522
685.0  61.0867482
690.0  57.3882034
695.0  57.9370398
700.0  58.4517483
705.0  59.3236663
710.0  60.1880790
715.0  54.7913902
720.0  49.4379362
725.0  52.5592728
730.0  55.6412534
735.0  57.4549870
740.0  59.2227963
745.0  54.4586939
750.0  49.7364042
755.0  42.8399664
760.0  36.0014936
765.0  43.7307230
770.0  51.4012339
775.0  49.8830603
780.0  48.3700201
