; sRGB triplets for colors of light
; with a specified wavelength.
;
; lambda / nm    R      G      B
380.0  0.098015  0.000000  0.064573
385.0  0.128383  0.000000  0.087469
390.0  0.037826  0.000000  0.125358
395.0  0.058284  0.000000  0.170421
400.0  0.086357  0.000000  0.232175
405.0  0.113420  0.000000  0.292212
410.0  0.157786  0.000000  0.391092
415.0  0.210032  0.000000  0.508284
420.0  0.271782  0.000000  0.649087
425.0  0.334775  0.000000  0.798620
430.0  0.374897  0.000000  0.903781
435.0  0.391738  0.000000  0.965943
440.0  0.389527  0.000000  0.994647
445.0  0.371247  0.000000  1.000000
450.0  0.338098  0.000000  0.992985
455.0  0.288397  0.000000  0.980464
460.0  0.203098  0.000000  0.954537
465.0  0.000000  0.101981  0.912590
470.0  0.000000  0.266978  0.856395
475.0  0.000000  0.356792  0.792158
480.0  0.000000  0.423562  0.724492
485.0  0.000000  0.477198  0.658528
490.0  0.000000  0.525461  0.601698
495.0  0.000000  0.575174  0.556891
500.0  0.000000  0.627275  0.524054
505.0  0.000000  0.684354  0.501537
510.0  0.000000  0.736519  0.476145
515.0  0.000000  0.781642  0.445217
520.0  0.000000  0.813663  0.407307
525.0  0.000000  0.827791  0.357170
530.0  0.000000  0.828587  0.283301
535.0  0.000000  0.818311  0.151993
540.0  0.204065  0.814884  0.000000
545.0  0.326619  0.813449  0.000000
550.0  0.413772  0.805161  0.000000
555.0  0.486796  0.790766  0.000000
560.0  0.551488  0.769975  0.000000
565.0  0.609706  0.742123  0.000000
570.0  0.662387  0.707239  0.000000
575.0  0.709430  0.664909  0.000000
580.0  0.750509  0.615017  0.000000
585.0  0.784676  0.557188  0.000000
590.0  0.811445  0.491516  0.000000
595.0  0.830282  0.417753  0.000000
600.0  0.838854  0.336741  0.000000
605.0  0.838524  0.241450  0.000000
610.0  0.827475  0.110357  0.000000
615.0  0.815369  0.000000  0.141523
620.0  0.794574  0.000000  0.202202
625.0  0.759747  0.000000  0.225552
630.0  0.715598  0.000000  0.231427
635.0  0.668825  0.000000  0.228628
640.0  0.618478  0.000000  0.219176
645.0  0.564547  0.000000  0.204534
650.0  0.508763  0.000000  0.186216
655.0  0.454038  0.000000  0.166588
660.0  0.400370  0.000000  0.146132
665.0  0.348244  0.000000  0.125357
670.0  0.299595  0.000000  0.105607
675.0  0.258161  0.000000  0.088595
680.0  0.222966  0.000000  0.074082
685.0  0.187786  0.000000  0.059431
690.0  0.155778  0.000000  0.045918
695.0  0.129099  0.000000  0.034588
700.0  0.107741  0.000000  0.142692
705.0  0.088913  0.000000  0.119291
710.0  0.072533  0.000000  0.098922
715.0  0.058071  0.000000  0.080939
720.0  0.045336  0.000000  0.065111
725.0  0.034377  0.000000  0.051491
730.0  0.140568  0.000000  0.039533
735.0  0.115678  0.000000  0.028900
740.0  0.093948  0.000000  0.001551
745.0  0.075285  0.000000  0.001066
750.0  0.059758  0.000000  0.000743
755.0  0.046896  0.000000  0.000525
760.0  0.035719  0.000000  0.000371
765.0  0.002017  0.000000  0.000267
770.0  0.001426  0.000000  0.000186
775.0  0.001021  0.000000  0.000138
780.0  0.000726  0.000000  0.000097
